language,sentence,n,edgelist,root
English,311,12,"[(10, 3), (10, 8), (10, 7), (7, 9), (10, 1), (5, 4), (1, 5), (5, 2), (2, 6), (2, 12), (2, 11)]",10
English,313,12,"[(2, 9), (12, 11), (7, 10), (11, 7), (7, 3), (3, 1), (2, 12), (8, 6), (8, 4), (8, 5), (12, 8)]",2
English,314,11,"[(7, 10), (2, 11), (4, 6), (2, 4), (7, 2), (2, 9), (1, 8), (3, 5), (1, 3), (9, 1)]",7
English,315,21,"[(14, 17), (14, 8), (14, 5), (5, 18), (18, 15), (11, 3), (18, 11), (9, 12), (9, 7), (14, 9), (9, 10), (9, 2), (16, 20), (16, 13), (19, 16), (2, 19), (19, 6), (19, 21), (1, 4), (21, 1)]",14
English,322,26,"[(16, 13), (16, 19), (16, 5), (5, 17), (17, 2), (2, 10), (14, 22), (14, 8), (10, 14), (14, 15), (24, 11), (24, 3), (15, 24), (18, 25), (14, 18), (18, 7), (6, 4), (7, 6), (6, 12), (12, 9), (20, 1), (20, 21), (6, 20), (20, 26), (26, 23)]",16
English,323,15,"[(5, 13), (5, 3), (9, 5), (9, 6), (9, 2), (2, 4), (4, 11), (15, 7), (11, 15), (15, 10), (10, 12), (1, 14), (1, 8), (12, 1)]",9
English,328,17,"[(8, 5), (8, 11), (8, 17), (8, 9), (8, 7), (3, 10), (3, 4), (12, 6), (3, 12), (13, 3), (7, 13), (15, 2), (13, 15), (13, 1), (14, 16), (1, 14)]",8
English,329,20,"[(17, 1), (8, 17), (8, 19), (9, 8), (8, 14), (18, 3), (14, 18), (9, 4), (4, 15), (10, 6), (10, 2), (15, 10), (11, 12), (11, 5), (10, 11), (7, 16), (20, 7), (20, 13), (11, 20)]",9
English,330,24,"[(9, 14), (14, 6), (6, 8), (23, 5), (23, 16), (4, 3), (23, 4), (8, 23), (9, 19), (9, 22), (24, 12), (9, 24), (9, 1), (2, 7), (1, 2), (21, 11), (21, 15), (2, 21), (21, 17), (10, 18), (10, 13), (10, 20), (17, 10)]",9
English,332,24,"[(16, 7), (16, 18), (17, 6), (12, 22), (6, 12), (17, 24), (17, 2), (18, 17), (16, 5), (5, 4), (3, 9), (4, 3), (15, 8), (3, 15), (15, 11), (11, 10), (10, 19), (19, 23), (23, 1), (1, 21), (20, 13), (21, 20), (20, 14)]",16
English,334,16,"[(16, 10), (16, 1), (16, 11), (15, 2), (11, 15), (15, 3), (13, 6), (3, 13), (4, 5), (4, 7), (9, 12), (4, 9), (16, 4), (4, 14), (14, 8)]",16
English,336,18,"[(16, 7), (16, 10), (10, 4), (3, 15), (3, 12), (4, 3), (1, 5), (1, 14), (1, 9), (16, 1), (1, 18), (18, 13), (13, 11), (13, 17), (8, 6), (8, 2), (17, 8)]",16
English,340,12,"[(1, 4), (4, 10), (1, 6), (1, 12), (12, 2), (2, 5), (5, 3), (8, 9), (5, 8), (5, 7), (7, 11)]",1
English,342,16,"[(15, 14), (15, 9), (9, 8), (6, 10), (6, 11), (13, 3), (6, 13), (15, 6), (6, 2), (2, 7), (7, 16), (16, 5), (1, 4), (16, 1), (1, 12)]",15
English,343,21,"[(13, 14), (13, 4), (20, 11), (13, 20), (20, 6), (6, 9), (9, 17), (17, 2), (19, 8), (2, 19), (15, 16), (19, 15), (9, 3), (5, 1), (3, 5), (18, 12), (9, 18), (21, 7), (21, 10), (18, 21)]",13
English,346,23,"[(6, 15), (12, 11), (15, 12), (12, 3), (3, 23), (8, 14), (8, 22), (23, 8), (12, 20), (2, 18), (20, 2), (2, 16), (21, 17), (16, 21), (2, 9), (5, 4), (2, 5), (7, 19), (5, 7), (6, 1), (13, 10), (6, 13)]",6
English,349,21,"[(15, 2), (20, 15), (11, 14), (11, 6), (3, 9), (3, 12), (6, 3), (15, 11), (1, 7), (11, 1), (17, 4), (20, 17), (20, 19), (16, 13), (16, 8), (16, 10), (19, 16), (16, 18), (21, 5), (18, 21)]",20
English,350,20,"[(12, 4), (12, 15), (14, 3), (14, 2), (15, 14), (6, 16), (14, 6), (9, 10), (9, 19), (6, 9), (11, 13), (11, 8), (15, 11), (11, 18), (18, 17), (20, 7), (17, 20), (20, 5), (5, 1)]",12
English,352,21,"[(8, 21), (8, 7), (8, 9), (9, 1), (1, 16), (17, 6), (6, 19), (16, 17), (12, 10), (12, 5), (17, 12), (15, 4), (17, 15), (15, 13), (13, 11), (11, 18), (15, 20), (20, 2), (14, 3), (8, 14)]",8
English,354,9,"[(9, 1), (8, 5), (9, 8), (6, 3), (2, 7), (6, 4), (9, 6), (6, 2)]",9
English,357,12,"[(8, 6), (9, 12), (8, 9), (9, 5), (5, 10), (4, 11), (10, 4), (4, 7), (3, 2), (2, 1), (8, 3)]",8
English,358,23,"[(18, 22), (18, 1), (18, 19), (19, 4), (4, 10), (10, 13), (13, 8), (8, 21), (21, 14), (2, 20), (21, 2), (2, 12), (2, 6), (5, 23), (5, 11), (6, 5), (3, 17), (3, 15), (3, 16), (5, 3), (3, 7), (7, 9)]",18
English,359,16,"[(7, 9), (9, 1), (13, 11), (13, 15), (1, 13), (7, 10), (8, 5), (4, 8), (7, 4), (4, 12), (6, 3), (6, 14), (12, 6), (6, 2), (2, 16)]",7
English,364,9,"[(2, 1), (3, 2), (7, 3), (3, 8), (6, 9), (8, 6), (7, 5), (5, 4)]",7
English,366,8,"[(7, 4), (7, 3), (8, 6), (3, 8), (7, 2), (1, 5), (2, 1)]",7
English,368,19,"[(17, 9), (17, 6), (17, 15), (5, 14), (15, 5), (5, 1), (10, 11), (1, 10), (4, 3), (4, 12), (1, 4), (2, 13), (2, 19), (7, 18), (19, 7), (15, 2), (16, 8), (2, 16)]",17
English,370,18,"[(12, 2), (2, 3), (3, 11), (11, 6), (6, 15), (12, 7), (10, 8), (12, 10), (4, 12), (13, 18), (13, 5), (4, 13), (16, 17), (9, 14), (16, 9), (4, 16), (16, 1)]",4
English,371,19,"[(10, 19), (10, 15), (10, 5), (17, 11), (5, 17), (1, 18), (1, 9), (10, 1), (1, 13), (13, 8), (4, 16), (8, 4), (8, 7), (7, 2), (3, 14), (2, 3), (6, 12), (10, 6)]",10
English,372,24,"[(20, 6), (22, 20), (22, 5), (2, 9), (5, 2), (2, 10), (17, 4), (13, 16), (17, 13), (10, 17), (17, 21), (21, 23), (3, 19), (11, 3), (1, 11), (23, 1), (21, 15), (15, 14), (14, 12), (12, 7), (7, 8), (18, 24), (8, 18)]",22
English,374,17,"[(10, 3), (4, 5), (4, 1), (3, 4), (16, 17), (10, 16), (10, 12), (12, 14), (15, 6), (15, 11), (14, 15), (15, 13), (9, 8), (13, 9), (9, 2), (2, 7)]",10
English,375,9,"[(9, 3), (9, 7), (9, 8), (4, 9), (4, 5), (5, 1), (1, 2), (2, 6)]",4
English,377,13,"[(6, 5), (1, 6), (1, 11), (8, 2), (11, 8), (10, 13), (10, 7), (8, 10), (10, 12), (12, 4), (9, 3), (12, 9)]",1
English,379,34,"[(5, 19), (5, 13), (5, 27), (14, 5), (5, 29), (29, 15), (5, 18), (25, 17), (25, 26), (18, 25), (25, 9), (6, 32), (5, 6), (6, 11), (11, 30), (33, 22), (30, 33), (33, 21), (21, 2), (4, 7), (14, 4), (4, 16), (16, 1), (23, 8), (1, 23), (3, 28), (23, 3), (1, 34), (34, 12), (31, 24), (31, 10), (34, 31), (31, 20)]",14
English,382,28,"[(11, 7), (11, 18), (17, 25), (18, 17), (17, 4), (4, 1), (17, 8), (26, 28), (26, 23), (11, 26), (26, 15), (15, 27), (2, 16), (2, 21), (11, 2), (12, 10), (11, 12), (22, 3), (12, 22), (12, 6), (14, 19), (14, 9), (6, 14), (12, 24), (20, 13), (20, 5), (24, 20)]",11
English,383,10,"[(10, 6), (10, 1), (10, 5), (8, 10), (7, 4), (8, 7), (7, 9), (3, 2), (9, 3)]",8
English,385,16,"[(6, 11), (11, 7), (6, 1), (14, 2), (14, 13), (14, 12), (6, 14), (15, 8), (14, 15), (9, 5), (9, 3), (3, 4), (9, 16), (9, 10), (6, 9)]",6
English,388,23,"[(3, 9), (3, 8), (21, 3), (21, 15), (17, 12), (15, 17), (17, 19), (19, 16), (17, 14), (4, 6), (14, 4), (4, 11), (11, 7), (1, 13), (17, 1), (1, 10), (18, 5), (2, 23), (18, 2), (10, 18), (18, 22), (22, 20)]",21
English,389,12,"[(8, 5), (12, 8), (1, 11), (1, 6), (12, 1), (10, 4), (1, 10), (7, 9), (2, 3), (9, 2), (10, 7)]",12
English,390,10,"[(2, 10), (7, 5), (2, 7), (9, 2), (9, 1), (3, 8), (1, 3), (3, 6), (6, 4)]",9
English,393,25,"[(10, 21), (8, 6), (12, 8), (16, 12), (21, 16), (16, 7), (16, 20), (20, 1), (2, 24), (1, 2), (20, 14), (18, 3), (14, 18), (10, 11), (10, 23), (23, 9), (4, 15), (9, 4), (4, 25), (25, 19), (22, 17), (19, 22), (10, 13), (13, 5)]",10
English,395,24,"[(22, 10), (20, 22), (22, 2), (7, 24), (16, 9), (16, 5), (24, 16), (2, 7), (20, 23), (23, 13), (20, 14), (8, 3), (8, 11), (14, 8), (20, 18), (15, 12), (18, 15), (15, 21), (15, 1), (19, 17), (19, 6), (1, 19), (19, 4)]",20
English,396,29,"[(23, 29), (25, 15), (29, 25), (25, 3), (2, 12), (2, 8), (3, 2), (9, 4), (9, 11), (23, 9), (23, 13), (13, 21), (23, 19), (10, 5), (1, 10), (6, 16), (1, 6), (19, 1), (1, 27), (27, 17), (24, 28), (7, 24), (17, 7), (26, 22), (27, 26), (26, 20), (14, 18), (20, 14)]",23
English,397,21,"[(17, 3), (3, 2), (2, 4), (17, 1), (8, 16), (17, 8), (8, 10), (19, 18), (10, 19), (17, 20), (12, 15), (20, 12), (12, 6), (7, 14), (6, 7), (7, 21), (21, 5), (13, 11), (9, 13), (5, 9)]",17
English,398,10,"[(2, 6), (2, 4), (10, 2), (10, 7), (7, 1), (10, 5), (5, 9), (9, 3), (3, 8)]",10
English,399,17,"[(14, 12), (12, 5), (5, 11), (14, 10), (15, 16), (14, 15), (15, 6), (6, 13), (15, 2), (9, 3), (2, 9), (9, 1), (17, 7), (9, 17), (17, 8), (8, 4)]",14
English,400,13,"[(1, 13), (13, 12), (1, 10), (5, 3), (1, 5), (5, 4), (4, 11), (11, 8), (8, 7), (9, 2), (9, 6), (7, 9)]",1
English,402,19,"[(18, 15), (18, 14), (18, 17), (17, 2), (2, 6), (6, 5), (5, 9), (9, 8), (9, 11), (17, 10), (10, 13), (13, 16), (10, 19), (19, 12), (3, 7), (10, 3), (3, 1), (1, 4)]",18
English,404,18,"[(5, 9), (5, 2), (8, 5), (5, 14), (16, 18), (14, 16), (8, 12), (12, 10), (1, 13), (10, 1), (3, 11), (3, 7), (3, 4), (8, 3), (3, 15), (6, 17), (15, 6)]",8
English,407,16,"[(16, 10), (16, 14), (8, 16), (16, 7), (12, 6), (7, 12), (1, 4), (13, 1), (8, 13), (13, 11), (2, 15), (2, 5), (2, 9), (2, 3), (11, 2)]",8
English,408,30,"[(1, 15), (15, 23), (13, 22), (14, 5), (13, 14), (23, 13), (26, 25), (13, 26), (26, 24), (12, 17), (8, 30), (12, 8), (24, 12), (20, 10), (1, 20), (29, 21), (1, 29), (29, 19), (19, 28), (28, 4), (16, 2), (28, 16), (16, 7), (11, 27), (11, 9), (11, 6), (16, 11), (11, 18), (18, 3)]",1
English,410,26,"[(16, 24), (6, 22), (16, 6), (6, 9), (9, 26), (16, 1), (1, 13), (13, 18), (18, 10), (5, 7), (16, 5), (21, 20), (5, 21), (5, 4), (23, 12), (4, 23), (25, 11), (25, 17), (23, 25), (5, 15), (8, 14), (15, 8), (8, 3), (2, 19), (3, 2)]",16
English,411,20,"[(12, 15), (5, 1), (15, 5), (5, 18), (14, 6), (8, 19), (14, 8), (14, 9), (12, 14), (12, 16), (3, 20), (16, 3), (12, 2), (2, 4), (11, 13), (11, 17), (4, 11), (11, 10), (10, 7)]",12
English,412,39,"[(3, 7), (7, 10), (10, 26), (23, 3), (3, 17), (9, 27), (9, 31), (17, 9), (9, 4), (8, 20), (4, 8), (23, 5), (1, 19), (29, 1), (1, 28), (28, 14), (14, 25), (25, 12), (12, 16), (16, 15), (5, 29), (29, 35), (29, 33), (32, 37), (5, 32), (13, 22), (24, 13), (2, 24), (24, 38), (38, 39), (39, 30), (30, 11), (11, 18), (18, 6), (32, 2), (2, 34), (36, 21), (34, 36)]",23
English,413,22,"[(17, 9), (13, 17), (16, 13), (22, 16), (22, 14), (14, 19), (15, 2), (15, 11), (14, 15), (15, 18), (8, 5), (19, 8), (8, 20), (21, 4), (21, 7), (20, 21), (21, 3), (10, 1), (3, 10), (12, 6), (10, 12)]",22
English,416,26,"[(26, 2), (26, 11), (11, 16), (16, 6), (6, 19), (9, 1), (19, 9), (5, 8), (8, 15), (15, 10), (11, 5), (5, 17), (17, 13), (20, 7), (20, 3), (13, 20), (20, 14), (21, 22), (14, 21), (5, 23), (25, 12), (23, 25), (26, 24), (18, 4), (24, 18)]",26
English,418,28,"[(6, 26), (26, 28), (4, 12), (22, 8), (4, 22), (4, 19), (28, 4), (4, 9), (14, 24), (9, 14), (5, 2), (5, 25), (5, 10), (6, 5), (18, 7), (18, 17), (5, 18), (11, 21), (21, 20), (20, 1), (11, 27), (18, 11), (13, 3), (11, 13), (13, 23), (15, 16), (23, 15)]",6
English,420,18,"[(16, 18), (12, 16), (6, 4), (7, 9), (6, 7), (12, 6), (8, 17), (6, 8), (8, 15), (15, 11), (8, 10), (5, 13), (10, 5), (1, 3), (8, 1), (1, 2), (2, 14)]",12
English,423,18,"[(14, 12), (5, 14), (14, 17), (17, 8), (8, 7), (7, 13), (15, 4), (15, 16), (15, 3), (13, 15), (10, 9), (10, 18), (1, 2), (18, 1), (10, 6), (13, 10), (5, 11)]",5
English,425,33,"[(23, 32), (27, 23), (7, 20), (7, 14), (23, 7), (7, 17), (19, 21), (17, 19), (12, 4), (19, 12), (27, 31), (31, 5), (31, 29), (9, 18), (9, 3), (29, 9), (6, 11), (24, 25), (6, 24), (1, 28), (24, 1), (1, 22), (8, 16), (22, 8), (27, 6), (6, 26), (26, 2), (2, 10), (15, 33), (15, 30), (15, 13), (10, 15)]",27
English,428,31,"[(15, 14), (14, 16), (18, 6), (16, 18), (15, 28), (25, 27), (25, 9), (28, 25), (15, 17), (13, 7), (13, 23), (17, 13), (8, 21), (13, 8), (8, 31), (30, 29), (31, 30), (31, 1), (1, 10), (10, 2), (11, 5), (11, 12), (12, 26), (26, 3), (15, 11), (11, 4), (11, 24), (24, 22), (20, 19), (22, 20)]",15
English,430,16,"[(2, 10), (16, 2), (2, 9), (9, 7), (7, 13), (13, 6), (5, 1), (6, 5), (16, 11), (14, 15), (14, 8), (4, 14), (11, 4), (16, 3), (3, 12)]",16
English,434,13,"[(4, 6), (9, 4), (9, 7), (11, 5), (11, 1), (7, 11), (2, 10), (9, 2), (13, 8), (13, 3), (13, 12), (2, 13)]",9
English,435,14,"[(9, 2), (13, 9), (10, 6), (9, 10), (4, 14), (4, 11), (13, 4), (12, 5), (4, 12), (12, 3), (7, 1), (7, 8), (3, 7)]",13
English,436,23,"[(7, 9), (13, 7), (7, 10), (22, 5), (10, 22), (21, 13), (19, 8), (21, 19), (19, 4), (4, 14), (1, 15), (14, 1), (1, 20), (3, 12), (20, 3), (20, 6), (11, 17), (11, 18), (6, 11), (16, 23), (16, 2), (11, 16)]",21
English,437,15,"[(13, 8), (2, 13), (13, 4), (9, 12), (4, 9), (9, 5), (5, 1), (7, 10), (6, 7), (3, 6), (14, 11), (15, 14), (2, 15), (15, 3)]",2
English,440,21,"[(10, 3), (7, 10), (10, 11), (9, 21), (11, 9), (19, 12), (9, 19), (7, 1), (16, 18), (7, 16), (7, 14), (14, 15), (15, 2), (2, 17), (7, 8), (6, 20), (8, 6), (6, 4), (5, 13), (4, 5)]",7
English,444,20,"[(9, 3), (3, 19), (14, 8), (19, 14), (9, 18), (18, 20), (10, 5), (15, 10), (15, 13), (15, 1), (20, 15), (9, 4), (6, 7), (7, 17), (17, 12), (11, 6), (4, 11), (11, 16), (16, 2)]",9
English,445,48,"[(13, 48), (13, 4), (27, 13), (27, 44), (44, 38), (13, 19), (19, 30), (37, 9), (19, 37), (18, 43), (37, 18), (21, 14), (18, 21), (22, 31), (21, 22), (3, 23), (3, 28), (22, 3), (15, 12), (12, 33), (33, 7), (3, 15), (15, 24), (15, 11), (6, 10), (11, 6), (1, 5), (15, 1), (1, 42), (29, 40), (42, 29), (34, 32), (1, 34), (34, 46), (8, 17), (8, 20), (46, 8), (26, 47), (26, 35), (8, 26), (16, 39), (16, 2), (26, 16), (36, 45), (36, 41), (36, 25), (16, 36)]",27
English,446,10,"[(2, 3), (10, 2), (2, 8), (8, 5), (10, 4), (4, 7), (9, 6), (7, 9), (9, 1)]",10
English,449,13,"[(6, 9), (1, 6), (1, 13), (12, 3), (13, 12), (12, 4), (8, 7), (4, 8), (8, 5), (2, 11), (2, 10), (5, 2)]",1
English,450,11,"[(2, 3), (9, 5), (9, 1), (2, 9), (4, 8), (9, 4), (4, 10), (10, 11), (4, 7), (7, 6)]",2
English,452,7,"[(5, 1), (2, 7), (1, 2), (2, 3), (6, 4), (3, 6)]",5
English,453,12,"[(5, 6), (10, 5), (10, 1), (10, 2), (2, 3), (3, 9), (12, 4), (8, 11), (12, 8), (10, 12), (12, 7)]",10
English,457,12,"[(12, 2), (7, 12), (7, 8), (7, 11), (11, 3), (1, 5), (3, 1), (1, 9), (6, 10), (6, 4), (9, 6)]",7
English,459,12,"[(8, 3), (8, 6), (2, 9), (8, 2), (2, 7), (10, 11), (7, 10), (5, 4), (5, 1), (8, 5), (5, 12)]",8
English,462,15,"[(15, 12), (3, 15), (11, 14), (11, 2), (15, 11), (3, 9), (9, 13), (1, 8), (13, 1), (9, 4), (10, 7), (5, 6), (10, 5), (4, 10)]",3
English,463,22,"[(8, 18), (18, 3), (8, 11), (21, 15), (21, 22), (11, 21), (8, 1), (5, 7), (5, 14), (1, 5), (8, 16), (16, 4), (8, 2), (9, 10), (2, 9), (9, 19), (17, 13), (19, 17), (17, 20), (12, 6), (20, 12)]",8
English,464,13,"[(12, 9), (12, 7), (12, 3), (12, 11), (11, 6), (6, 4), (10, 5), (1, 13), (10, 1), (8, 2), (1, 8), (6, 10)]",12
English,465,14,"[(12, 6), (12, 8), (7, 12), (10, 11), (10, 9), (7, 10), (10, 2), (5, 13), (3, 5), (2, 3), (3, 14), (1, 4), (14, 1)]",7
English,471,23,"[(3, 21), (2, 8), (21, 2), (22, 3), (7, 13), (22, 7), (20, 1), (7, 20), (20, 15), (14, 18), (15, 14), (11, 5), (10, 4), (11, 10), (14, 11), (11, 6), (11, 17), (17, 16), (19, 23), (16, 19), (19, 12), (12, 9)]",22
English,472,21,"[(10, 8), (3, 10), (3, 19), (3, 15), (7, 5), (15, 7), (1, 13), (13, 6), (1, 14), (7, 1), (1, 21), (2, 9), (11, 16), (11, 18), (2, 11), (1, 2), (2, 4), (2, 12), (12, 20), (2, 17)]",3
English,473,17,"[(12, 11), (10, 15), (10, 7), (16, 10), (11, 16), (16, 9), (9, 1), (5, 6), (12, 5), (5, 4), (4, 8), (17, 13), (17, 2), (8, 17), (12, 3), (3, 14)]",12
English,475,21,"[(3, 10), (3, 9), (11, 3), (11, 17), (21, 18), (11, 21), (12, 2), (21, 12), (12, 7), (7, 6), (6, 19), (15, 16), (19, 15), (6, 8), (13, 20), (8, 13), (12, 5), (1, 14), (1, 4), (5, 1)]",11
English,476,15,"[(7, 10), (7, 12), (12, 8), (7, 11), (7, 13), (7, 4), (4, 2), (6, 1), (2, 6), (6, 9), (9, 15), (15, 5), (5, 3), (5, 14)]",7
English,477,14,"[(14, 3), (14, 11), (14, 13), (7, 4), (8, 7), (13, 8), (8, 9), (8, 10), (1, 2), (12, 1), (10, 12), (12, 5), (5, 6)]",14
English,480,16,"[(9, 16), (10, 9), (10, 8), (13, 10), (13, 11), (11, 5), (5, 1), (1, 7), (15, 3), (7, 15), (12, 2), (15, 12), (6, 4), (6, 14), (12, 6)]",13
English,481,28,"[(28, 3), (27, 28), (28, 23), (27, 24), (2, 16), (24, 2), (2, 21), (21, 19), (22, 6), (22, 20), (11, 13), (22, 11), (19, 22), (22, 18), (1, 5), (18, 1), (22, 25), (14, 17), (25, 14), (14, 4), (26, 10), (4, 26), (14, 15), (12, 8), (12, 7), (12, 9), (15, 12)]",27
English,482,37,"[(22, 4), (37, 13), (4, 37), (37, 27), (27, 8), (14, 17), (37, 14), (17, 34), (37, 16), (16, 19), (26, 2), (26, 18), (22, 26), (26, 35), (22, 11), (6, 24), (11, 6), (10, 21), (21, 28), (28, 23), (10, 36), (36, 3), (33, 5), (3, 33), (22, 10), (29, 31), (29, 30), (29, 7), (10, 29), (29, 12), (1, 25), (12, 1), (1, 9), (20, 15), (20, 32), (9, 20)]",22
English,484,40,"[(36, 29), (38, 26), (38, 20), (29, 38), (36, 18), (18, 23), (25, 16), (25, 31), (23, 25), (24, 37), (24, 35), (36, 24), (3, 27), (3, 6), (24, 3), (3, 14), (2, 15), (14, 2), (2, 30), (22, 34), (30, 22), (22, 8), (8, 39), (36, 32), (32, 21), (21, 12), (33, 40), (33, 9), (12, 33), (10, 19), (10, 13), (33, 10), (10, 28), (1, 4), (28, 1), (1, 7), (5, 11), (5, 17), (7, 5)]",36
English,485,31,"[(6, 3), (6, 12), (29, 6), (29, 22), (22, 13), (13, 18), (19, 16), (18, 19), (19, 27), (27, 17), (13, 23), (23, 24), (7, 4), (7, 11), (11, 26), (7, 25), (24, 7), (7, 5), (8, 21), (5, 8), (7, 10), (2, 28), (10, 2), (2, 15), (15, 9), (30, 31), (30, 20), (9, 30), (30, 14), (14, 1)]",29
English,487,16,"[(5, 9), (13, 5), (2, 13), (2, 4), (12, 2), (7, 1), (12, 7), (7, 11), (15, 8), (11, 15), (3, 6), (7, 3), (14, 16), (14, 10), (3, 14)]",12
English,489,18,"[(9, 11), (9, 15), (9, 3), (3, 10), (18, 1), (18, 5), (10, 18), (18, 6), (17, 2), (17, 14), (6, 17), (8, 13), (17, 8), (8, 16), (8, 4), (12, 7), (4, 12)]",9
English,490,30,"[(27, 17), (17, 25), (27, 7), (24, 19), (7, 24), (27, 22), (27, 20), (2, 16), (20, 2), (26, 30), (27, 26), (26, 12), (6, 21), (12, 6), (6, 8), (8, 15), (13, 3), (15, 13), (26, 5), (5, 1), (9, 4), (1, 9), (1, 11), (1, 14), (10, 29), (14, 10), (1, 23), (18, 28), (23, 18)]",27
English,491,24,"[(20, 7), (1, 17), (20, 1), (20, 22), (12, 11), (22, 12), (12, 21), (15, 14), (15, 9), (21, 15), (16, 19), (16, 5), (15, 16), (4, 8), (8, 23), (23, 6), (4, 2), (4, 24), (16, 4), (4, 10), (18, 3), (18, 13), (10, 18)]",20
English,495,17,"[(7, 11), (6, 7), (6, 13), (6, 4), (10, 6), (6, 5), (5, 14), (14, 16), (3, 12), (1, 3), (15, 1), (15, 9), (2, 8), (15, 2), (15, 17), (10, 15)]",10
English,500,38,"[(14, 20), (20, 3), (14, 16), (17, 1), (10, 17), (29, 27), (17, 29), (16, 10), (10, 18), (18, 23), (23, 11), (25, 34), (11, 25), (23, 36), (28, 8), (36, 28), (35, 4), (35, 37), (31, 6), (37, 31), (31, 9), (5, 21), (5, 30), (9, 5), (31, 38), (38, 19), (22, 12), (35, 22), (22, 24), (26, 32), (24, 26), (26, 2), (13, 7), (2, 13), (10, 35), (35, 15), (15, 33)]",14
English,501,19,"[(10, 9), (16, 10), (10, 8), (8, 14), (18, 3), (14, 18), (18, 12), (16, 17), (16, 4), (4, 15), (11, 13), (11, 2), (11, 1), (15, 11), (11, 5), (19, 6), (19, 7), (5, 19)]",16
English,504,11,"[(11, 2), (6, 7), (2, 6), (6, 3), (3, 5), (10, 9), (10, 8), (5, 10), (11, 1), (1, 4)]",11
English,512,17,"[(17, 11), (17, 8), (17, 6), (6, 16), (14, 7), (14, 3), (16, 14), (14, 4), (9, 5), (4, 9), (10, 13), (14, 10), (10, 15), (10, 2), (10, 12), (12, 1)]",17
English,516,26,"[(3, 7), (3, 17), (17, 19), (6, 9), (19, 6), (5, 4), (6, 5), (5, 24), (16, 8), (24, 16), (5, 18), (23, 20), (23, 1), (18, 23), (26, 13), (5, 26), (9, 11), (26, 12), (14, 15), (12, 14), (21, 25), (26, 21), (21, 10), (21, 22), (22, 2)]",3
English,517,12,"[(4, 2), (4, 6), (4, 1), (5, 3), (5, 7), (4, 5), (5, 11), (11, 12), (12, 9), (11, 10), (10, 8)]",4
English,519,17,"[(10, 15), (15, 4), (10, 16), (10, 8), (8, 12), (10, 6), (13, 5), (6, 13), (9, 7), (13, 9), (9, 2), (3, 17), (2, 3), (1, 14), (1, 11), (3, 1)]",10
English,524,16,"[(5, 11), (5, 13), (5, 9), (1, 16), (9, 1), (12, 6), (1, 12), (4, 10), (2, 15), (4, 2), (12, 4), (8, 7), (4, 8), (8, 14), (14, 3)]",5
English,525,20,"[(12, 18), (12, 6), (11, 14), (12, 11), (4, 5), (12, 4), (4, 17), (17, 15), (15, 9), (9, 20), (3, 13), (4, 3), (1, 2), (10, 7), (1, 10), (1, 19), (4, 1), (8, 16), (1, 8)]",12
English,527,21,"[(12, 16), (21, 12), (21, 19), (4, 7), (4, 20), (21, 4), (4, 5), (2, 13), (5, 2), (14, 9), (14, 3), (21, 14), (14, 17), (14, 6), (18, 15), (6, 18), (1, 8), (18, 1), (1, 11), (11, 10)]",21
English,528,7,"[(4, 3), (4, 7), (7, 6), (6, 1), (5, 2), (1, 5)]",4
English,529,42,"[(34, 29), (23, 34), (34, 40), (40, 30), (7, 9), (30, 7), (3, 39), (23, 3), (3, 20), (38, 27), (38, 22), (38, 21), (20, 38), (38, 13), (13, 12), (12, 2), (38, 1), (15, 33), (1, 15), (16, 32), (18, 16), (16, 25), (25, 24), (38, 18), (35, 14), (19, 35), (18, 19), (38, 11), (42, 4), (36, 31), (42, 36), (11, 42), (42, 37), (17, 10), (37, 17), (26, 28), (26, 8), (26, 6), (26, 41), (26, 5), (42, 26)]",23
English,530,26,"[(10, 23), (10, 5), (4, 10), (10, 13), (7, 21), (13, 7), (4, 6), (4, 3), (26, 14), (26, 15), (4, 26), (26, 16), (16, 11), (2, 8), (2, 22), (2, 18), (11, 2), (2, 9), (1, 20), (17, 19), (1, 17), (9, 1), (12, 24), (1, 12), (12, 25)]",4
English,531,21,"[(6, 11), (6, 14), (4, 6), (4, 15), (15, 7), (13, 9), (7, 13), (20, 5), (15, 20), (3, 19), (20, 3), (3, 12), (2, 10), (12, 2), (2, 8), (16, 1), (16, 17), (8, 16), (16, 18), (18, 21)]",4
English,532,24,"[(15, 16), (15, 11), (15, 12), (15, 3), (14, 15), (15, 18), (21, 22), (18, 21), (14, 20), (20, 19), (19, 17), (17, 23), (5, 9), (23, 5), (5, 1), (7, 4), (1, 7), (7, 10), (8, 24), (2, 8), (10, 2), (2, 13), (13, 6)]",14
English,533,24,"[(10, 13), (10, 22), (22, 6), (15, 10), (10, 24), (24, 5), (23, 2), (23, 17), (5, 23), (23, 7), (18, 11), (15, 18), (18, 16), (12, 14), (16, 12), (12, 19), (19, 3), (12, 8), (8, 20), (8, 4), (21, 9), (21, 1), (4, 21)]",15
English,535,15,"[(6, 14), (6, 7), (11, 6), (15, 12), (11, 15), (5, 9), (2, 4), (3, 8), (2, 3), (10, 13), (2, 10), (5, 2), (11, 5), (5, 1)]",11
English,538,20,"[(4, 12), (12, 6), (4, 8), (4, 14), (14, 5), (5, 11), (19, 1), (11, 19), (4, 2), (20, 18), (2, 20), (20, 13), (9, 7), (13, 9), (2, 15), (10, 16), (17, 3), (10, 17), (15, 10)]",4
